mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
47	47	210	210	1.5	3/4	3/4	9/8	2	1	vii%7	Db	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
48	48	423/2	423/2	1.5	0	0	9/8	2	1	ii65	Db	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
48	48	213	213	1.5	3/8	3/8	9/8	2	1	ii43	Db	I		ii43	ii		43					mm7	0	0	3, 0, 2, -1		2	3
48	48	429/2	429/2	1.5	3/4	3/4	9/8	2	1	vii%7	Db	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
49	49	216	216	4.5	0	0	9/8	2	1	ii65	Db	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
50	50	441/2	441/2	4.5	0	0	9/8	2	1	ii65(#4)	Db	I		ii65(#4)	ii		65	#4				mm7	0	0	-1, 8, 0, 2		2	-1
51	51	225	225	4.5	0	0	9/8	2	1	iii[iii	Db	I	iii	iii	iii							m	0	0	4, 1, 5		4	4
52	52	459/2	459/2	4.5	0	0	9/8	2	1	V7/vi	Db	I	iii	V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
53	53	234	234	1.5	0	0	9/8	2	1	vi43(4)	Db	I	iii	vi43(4)	vi		43	4				mm7	0	0	4, 1, 3, 2		3	4
53	53	471/2	471/2	3.0	3/8	3/8	9/8	2	1	vi43]	Db	I	iii	vi43	vi		43					mm7	0	0	4, 1, 3, 0		3	4
54	54	477/2	477/2	1.5	0	0	9/8	2	1	V43(4)	Db	I		V43(4)	V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
54	54	240	240	3.0	3/8	3/8	9/8	2	1	V43	Db	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
55	55	243	243	3.0	0	0	9/8	2	1	ii2	Db	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
55	55	246	246	1.5	3/4	3/4	9/8	2	1	iii43	Db	I		iii43	iii		43					mm7	0	0	5, 2, 4, 1		4	5
56	56	495/2	495/2	1.5	0	0	9/8	2	1	vii%7(64)	Db	I		vii%7(64)	vii	%	7	64				%7	0	0	5, 4, 1, 3		5	5
56	56	249	249	1.5	3/8	3/8	9/8	2	1	vii%7	Db	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
56	56	501/2	501/2	1.5	3/4	3/4	9/8	2	1	V7/vi	Db	I		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
57	57	252	252	3.0	0	0	9/8	2	1	vi2	Db	I		vi2	vi		2					mm7	0	0	1, 3, 0, 4		3	1
57	57	255	255	1.5	3/4	3/4	9/8	2	1	ii65	Db	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
58	58	513/2	513/2	1.5	0	0	9/8	2	1	vi43(4)	Db	I		vi43(4)	vi		43	4				mm7	0	0	4, 1, 3, 2		3	4
58	58	258	258	1.5	3/8	3/8	9/8	2	1	vi43	Db	I		vi43	vi		43					mm7	0	0	4, 1, 3, 0		3	4
58	58	519/2	519/2	1.5	3/4	3/4	9/8	2	1	V7	Db	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
59	59	261	261	1.5	0	0	9/8	2	1	I|IAC}{	Db	I		I	I					IAC	}{	M	0	0	0, 4, 1		0	0
59	59	525/2	525/2	3.0	3/8	3/8	9/8	2	1	V7/IV	Db	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
